Facility Name,State,1995 NOX Emissions (tons),2019 NOX Emissions (tons),1995 vs 2019 NOX Emissions (tons),Latitude (degrees),Longitude (degrees)
AMEA Sylacauga Plant,AL,,23.00,,33.1661,-86.2825
Barry,AL,"33,140",2361.00,"-30,779",31.0069,-88.0103
Calhoun Energy Center,AL,,60.00,,33.5883,-85.9731
Charles R Lowman,AL,"12,265",2248.00,"-10,017",31.4858,-87.9106
Chickasaw,AL,0,,,30.7633,-88.0606
Colbert,AL,"16,042",11.00,"-16,031",34.7439,-87.8486
Decatur Energy Center,AL,,78.00,,34.6292,-87.0214
E B Harris Generating Plant,AL,,155.00,,32.3814,-86.5736
E C Gaston,AL,"18,632",3463.00,"-15,169",33.2442,-86.4567
Gadsden,AL,"1,830",184.00,"-1,646",34.0128,-85.9708
Gorgas,AL,"28,550",491.00,"-28,059",33.6446,-87.2003
Greene County,AL,"15,273",1572.00,"-13,701",32.6017,-87.7811
Hillabee Energy Center,AL,,136.00,,33,-85.9031
Hog Bayou Energy Center,AL,,42.00,,30.7478,-88.0575
James H Miller Jr,AL,"39,898",6807.00,"-33,091",33.6319,-87.0597
McIntosh (7063),AL,0,144.00,144,31.2546,-88.0299
McWilliams,AL,,207.00,,31.4001,-86.4767
Morgan Energy Center,AL,,100.00,,34.6397,-87.0639
Plant H. Allen Franklin,AL,,366.00,,32.6094,-85.0961
SABIC Innovative Plastics - Burkville,AL,,62.00,,32.3102,-86.5242
Tenaska Central Alabama Gen Station,AL,,182.00,,32.6503,-86.7386
Tenaska Lindsay Hill Generating Station,AL,,51.00,,32.6514,-86.7386
Theodore Cogeneration,AL,,50.00,,30.5248,-88.1289
Walton Discover Power Facility,AL,,20.00,,32.5412,-85.0384
Washington County Cogen (Olin),AL,,192.00,,31.2622,-88.0052
Widows Creek,AL,"37,146",,,34.8825,-85.7547
Carl Bailey,AR,0,19.00,19,35.2597,-91.3631
City Water & Light - City of Jonesboro,AR,,15.00,,35.8481,-90.7257
Dell Power Plant,AR,,91.00,,35.8619,-90.0253
Flint Creek Power Plant,AR,"6,076",2373.00,"-3,703",36.2561,-94.5241
Fulton,AR,,38.00,,33.6094,-93.7924
Harry D. Mattison Power Plant,AR,,61.00,,36.1855,-94.2841
Harvey Couch,AR,459,,,33.3592,-93.4649
Hot Spring Energy Facility,AR,,121.00,,34.2963,-92.8683
Independence,AR,"14,798",5062.00,"-9,736",35.6733,-91.4083
John W. Turk Jr. Power Plant,AR,,722.00,,33.6497,-93.8119
Lake Catherine,AR,"2,133",191.00,"-1,942",34.4341,-92.9046
Magnet Cove Generating Station,AR,,168.00,,34.4304,-92.8333
McClellan,AR,0,39.00,39,33.5648,-92.7917
Oswald Generating Station,AR,,174.00,,34.5923,-92.2166
Pine Bluff Energy Center,AR,,242.00,,34.2181,-91.9025
Plum Point Energy Station,AR,,1583.00,,35.6626,-89.9469
Robert E Ritchie,AR,"1,865",,,34.4629,-90.5987
Thomas Fitzhugh,AR,172,93.00,-79,35.4617,-93.8053
Union Power Station,AR,,487.00,,33.2961,-92.5933
White Bluff,AR,"18,474",5968.00,"-12,506",34.4236,-92.1392
APS Saguaro Power Plant,AZ,0,20.00,20,32.5517,-111.3
APS West Phoenix Power Plant,AZ,,138.00,,33.4417,-112.1583
Agua Fria Generating Station,AZ,636,473.00,-163,33.5542,-112.2161
