gppd_idnr,name,latitude,longitude,total_no2,total_weighted_no2
USA0001233,Fort Dodge,37.7328,-99.9497,0.0,0.0
USA0003008,Mooreland,36.4372,-99.2254,0.6187085034780069,1.652558909468522
USA0003006,Anadarko Plant,35.0847,-98.23,1.76936659178406,3.3865073449410756
USA0000762,Ponca,36.7198,-97.0858,0.0,0.0
USA0055651,Spring Creek Energy Center,35.7422,-97.655,0.0,0.0
USA0055463,Redbud Power Plant,35.6856,-97.2264,40.29239955234116,33.43604023874466
USA0055457,McClain Energy Facility,35.2977,-97.5898,5.241040249008422,6.023118638451157
USA0055501,Kiamichi Energy Facility,34.6831,-95.9349,25.833282482196232,22.35292318671636
USA0055225,Oneta Energy Center,36.0119,-95.6967,29.854459487316053,27.879849235982828
USA0055146,Green Country Energy LLC,35.9833,-95.9346,16.522570760210975,18.810905830218218
USA0056502,Emporia Energy Center,38.4459,-96.0652,6.078423768715094,6.908615373970303
USA0056151,South Harper,38.6803,-94.4824,0.0,0.0
USA0001294,Kaw,39.0867,-94.6514,0.0,0.0
USA0055178,Dogwood Energy Facility,38.7931,-94.3006,4.424012381429673,6.866399999167953
USA0056328,Harry D Mattison Gas Plant,36.1855,-94.2841,0.0,0.0
USA0055221,Harry L. Oswald,34.5923,-92.2166,2.4036126318157156,2.833204504263015
USA0007604,St Francis Energy Facility,36.5852,-90.1779,1.5870520061227114,2.476907487182237
USA0055234,Audrain Generating Station,39.3092,-91.5369,6.2543921094424215,6.024259851473522
USA0001081,Riverside,41.54,-90.4481,0.0,0.0
USA0001048,Milton L Kapp,41.8081,-90.2336,0.0,0.0
USA0007754,Nodaway,40.2877,-94.7913,0.5145816649077598,1.4223529534734698
USA0007985,Greater Des Moines,41.5563,-93.5283,4.659565798325742,4.755799461009463
USA0001077,Sutherland,42.0473,-92.8594,0.017636824357684933,0.26206660886671773
USA0008031,Emery Station,43.094,-93.2922,2.2826435822093782,3.882961562944512
USA0001888,Fox Lake,43.6728,-94.7075,0.0,0.0
USA0001912,High Bridge,44.9314,-93.1117,5.806073406472305,8.904351498119158
USA0001904,Black Dog,44.8108,-93.2501,0.0,0.0
USA0055558,Combined Locks Energy Center,44.2717,-88.3011,0.0,0.0
USA0004040,Port Washington Generating Station,43.3842,-87.8689,34.65846064584037,30.025160796049924
USA0055641,Riverside Energy Center,42.5831,-89.0358,4.870483732649719,7.751201289249683
USA0004059,Sheepskin,42.8347,-89.1108,0.0,0.0
USA0055236,Lee Energy Facility,41.8287,-89.4054,9.544849108320797,8.428093836564237
USA0055183,Nelson Energy Center,41.7744,-89.6072,2.936454979800286,3.62317513448873
USA0055296,Calumet Energy Team LLC,41.6835,-87.5563,0.0,0.0
USA0055281,Southeast Chicago Energy Project,41.7181,-87.5449,4.262813329866568,10.528056510632698
USA0055199,Elwood Energy LLC,41.4388,-88.1236,99.27450519076066,77.7922417651749
USA0055222,Lincoln Generating Facility,41.3933,-87.9436,6.921324394057569,11.205688687899695
USA0055131,Kendall County Generation Facility,41.4797,-88.2581,42.43522835297593,39.76313088664332
USA0055279,Aurora,41.8151,-88.2265,48.565730976170826,41.85488762895005
USA0055109,Rocky Road Power LLC,42.0931,-88.2397,0.0,0.0
USA0001007,Noblesville,40.0969,-85.9714,0.5611406025319037,1.6193491906404376
USA0007763,Henry County,39.9528,-85.5039,0.0,0.0
USA0055101,Kalamazoo River Generating Station,42.2813,-85.495,0.0,0.0
USA0055087,Zeeland Generating Station,42.8206,-85.9975,13.394772267281134,13.667021115795606
USA0007984,Kalkaska CT #1,44.6889,-85.2019,0.0,0.0
USA0055402,Renaissance Power Plant,43.1864,-84.8429,7.448816171968268,7.170672984760816
USA0058427,Lansing BWL REO Town Plant,42.7197,-84.5517,0.0,0.0
USA0001719,Thetford,43.1567,-83.6286,0.0,0.0
USA0001730,Hancock,42.5497,-83.4425,0.0,0.0
USA0055990,Ashtabula,41.89,-80.7612,0.0,0.0
USA0055233,Handsome Lake Energy LLC,41.2908,-79.8061,0.0,0.0
USA0055516,Fayette Energy Facility,39.8592,-79.9182,8.370622558498324,9.050471684856145
USA0055350,Dresden Energy Facility,40.0928,-82.0276,3.8328023522271133,5.44882078907114
USA0055263,Galion Generating Station,40.7167,-82.789,0.0,0.0
USA0001728,Delray,42.2947,-83.1019,0.0,0.0
USA0055088,Dearborn Industrial Generation,42.3026,-83.154,18.511346084574328,26.094809880966405
USA0007972,Sumpter,42.167,-83.5318,1.4131005982558744,2.825857705760519
USA0055701,Fremont Energy Center,41.3771,-83.1614,7.398793479244984,7.469138920498698
USA0055270,Jackson Generating Station,42.2488,-84.3767,5.522433849105909,5.95006938067845
USA0007158,Woodsdale,39.4492,-84.4611,8.047454719453258,7.529223137100507
USA0007782,Hamilton Peaking,39.3528,-84.5183,0.0,0.0
USA0055502,Lawrenceburg Energy Facility,39.0911,-84.8669,41.07688016777592,36.643160197362135
USA0001353,Big Sandy,38.1707,-82.6176,0.0,0.0
USA0055284,Big Sandy Peaker Plant,38.3441,-82.5938,0.0,0.0
USA0055276,Ceredo Generating Station,38.3681,-82.5339,4.006127528197998,5.188744929215237
USA0055736,Hanging Rock Energy Facility,38.5731,-82.7833,34.07023918590813,30.28664577452382
USA0055401,Rolling Hills Generating,39.0839,-82.3328,15.061899645700214,14.917678090250387
USA0003775,Clinch River,36.9333,-82.1997,0.0,0.0
USA0055285,Wolf Hills Energy,36.6644,-82.1044,0.0,0.0
USA0002723,Dan River,36.4862,-79.7208,5.677975260916288,5.601972179951417
USA0055043,Cherokee County Cogen,35.0727,-81.613,0.0,0.0
USA0003405,John Sevier,36.3767,-82.9639,15.105105454282118,14.616538091856807
USA0055292,Decatur Energy Center,34.6292,-87.0214,11.28254677375453,10.499794023640078
USA0055293,Morgan Energy Center,34.6397,-87.0639,13.752747743870241,11.755770247158223
USA0055164,Bluegrass Generating Station,38.3902,-85.4133,5.938903837238506,7.4829344572836
USA0007948,Lawrence County Station,38.8003,-86.4511,1.5708725253995082,2.517219081206721
USA0057842,Wabash Valley Power IGCC,39.53,-87.4247,0.0,0.0
USA0055224,Wheatland Generating Facility,38.6716,-87.2931,1.3609767309043084,2.515090860511339
USA0055334,Holland Energy Facility,39.2231,-88.7584,4.289360138089539,5.587918697561259
USA0055237,Energy Shelby County,39.2794,-88.4772,2.685547176716779,3.2540706648728563
USA0055417,Raccoon Creek Energy Center,38.6996,-88.5392,2.9249902430019032,3.4264091480256202
USA0007842,Freedom Power Project,39.1033,-88.859,0.0,0.0
USA0055202,Pinckneyville,38.1114,-89.3467,0.7577658703232373,1.6855619948372107
USA0007749,Essex,36.8682,-89.8402,0.01836323838575828,0.2921604816728132
USA0007858,MEPI GT Facility,37.2175,-88.8661,0.5750735540835639,1.7838073415754494
USA0055251,Gleason Generating Facility,36.2454,-88.612,2.037491986113137,3.113316840949037
USA0055081,Brownsville Peaking Power,35.5438,-89.198,0.0,0.0
USA0055063,Batesville Generation Facility,34.3356,-89.9275,9.752702507877054,10.421860924205289
USA0055706,Choctaw County,33.2881,-89.4201,5.263850475911077,5.144025860791962
USA0002048,Sweatt,32.2925,-88.7461,0.0,0.0
USA0055197,Caledonia,33.6464,-88.2717,6.153923396739441,7.1358567371924355
USA0056018,AMEA Peaking,33.1661,-86.2825,0.0,0.0
USA0007813,Sewell Creek Energy,33.9486,-85.2769,3.5277661001408145,3.835712132196589
USA0007917,Chattahoochee Energy Facility,33.4072,-85.0386,3.8179828998353256,4.437951102952565
USA0055411,Hillabee Energy Center,33.0007,-85.9033,7.7743226876660465,7.249064768797682
